type,amountOfAttributes,executionTime
hashlist,354,1
hashlist,355,0
hashlist,356,2
hashlist,357,0
hashlist,358,1
hashlist,359,1
hashlist,360,0
hashlist,361,1
hashlist,362,1
hashlist,363,0
hashlist,364,1
hashlist,365,0
hashlist,366,1
hashlist,367,1
hashlist,368,0
hashlist,369,1
hashlist,370,1
hashlist,371,0
hashlist,372,1
hashlist,373,1
hashlist,374,0
hashlist,375,1
hashlist,376,0
hashlist,377,1
hashlist,378,1
hashlist,379,0
hashlist,380,1
hashlist,381,1
hashlist,382,0
hashlist,383,1
hashlist,384,1
hashlist,385,1
hashlist,386,0
hashlist,387,1
hashlist,388,1
hashlist,389,0
hashlist,390,2
hashlist,391,0
hashlist,392,1
hashlist,393,1
hashlist,394,1
hashlist,395,0
hashlist,396,1
hashlist,397,1
hashlist,398,0
hashlist,399,1
hashlist,400,1
hashlist,401,1
hashlist,402,0
hashlist,403,1
hashlist,404,1
hashlist,405,1
hashlist,406,1
hashlist,407,1
hashlist,408,0
hashlist,409,1
hashlist,410,1
hashlist,411,1
hashlist,412,1
hashlist,413,1
hashlist,414,0
hashlist,415,1
hashlist,416,1
hashlist,417,1
hashlist,418,1
hashlist,419,1
hashlist,420,1
hashlist,421,1
hashlist,422,1
hashlist,423,0
hashlist,424,1
hashlist,425,1
hashlist,426,1
hashlist,427,1
hashlist,428,1
hashlist,429,1
hashlist,430,1
hashlist,431,1
hashlist,432,1
hashlist,433,1
hashlist,434,1
hashlist,435,0
hashlist,436,1
hashlist,437,1
hashlist,438,1
hashlist,439,1
hashlist,440,2
hashlist,441,0
hashlist,442,0
hashlist,443,1
hashlist,444,1
hashlist,445,0
hashlist,446,0
hashlist,447,1
hashlist,448,0
hashlist,449,0
hashlist,450,1
hashlist,451,0
hashlist,452,0
hashlist,453,1
hashlist,454,0
hashlist,455,1
hashlist,456,1
hashlist,457,0
hashlist,458,1
hashlist,459,0
hashlist,460,0
hashlist,461,1
hashlist,462,0
hashlist,463,1
hashlist,464,0
hashlist,465,0
hashlist,466,1
hashlist,467,0
hashlist,468,0
hashlist,469,1
hashlist,470,0
hashlist,471,0
hashlist,472,1
hashlist,473,0
hashlist,474,1
hashlist,475,0
hashlist,476,0
hashlist,477,1
hashlist,478,0
hashlist,479,0
hashlist,480,1
hashlist,481,0
hashlist,482,0
hashlist,483,1
hashlist,484,0
hashlist,485,1
hashlist,486,0
hashlist,487,0
hashlist,488,1
hashlist,489,0
hashlist,490,1
hashlist,491,0
hashlist,492,0
hashlist,493,1
hashlist,494,0
hashlist,495,1
hashlist,496,0
hashlist,497,1
hashlist,498,0
hashlist,499,0
hashlist,500,1
hashlist,501,0
hashlist,502,1
