type,amountOfAttributes,executionTime
merkletree,354,1
merkletree,355,0
merkletree,356,0
merkletree,357,0
merkletree,358,1
merkletree,359,0
merkletree,360,0
merkletree,361,1
merkletree,362,0
merkletree,363,0
merkletree,364,0
merkletree,365,0
merkletree,366,0
merkletree,367,0
merkletree,368,1
merkletree,369,0
merkletree,370,0
merkletree,371,0
merkletree,372,1
merkletree,373,0
merkletree,374,0
merkletree,375,0
merkletree,376,0
merkletree,377,0
merkletree,378,1
merkletree,379,0
merkletree,380,0
merkletree,381,0
merkletree,382,0
merkletree,383,0
merkletree,384,1
merkletree,385,0
merkletree,386,0
merkletree,387,0
merkletree,388,0
merkletree,389,0
merkletree,390,1
merkletree,391,0
merkletree,392,0
merkletree,393,0
merkletree,394,1
merkletree,395,0
merkletree,396,0
merkletree,397,0
merkletree,398,0
merkletree,399,1
merkletree,400,0
merkletree,401,0
merkletree,402,0
merkletree,403,1
merkletree,404,0
merkletree,405,0
merkletree,406,0
merkletree,407,0
merkletree,408,1
merkletree,409,0
merkletree,410,0
merkletree,411,0
merkletree,412,0
merkletree,413,1
merkletree,414,0
merkletree,415,0
merkletree,416,0
merkletree,417,1
merkletree,418,0
merkletree,419,0
merkletree,420,0
merkletree,421,1
merkletree,422,0
merkletree,423,0
merkletree,424,0
merkletree,425,0
merkletree,426,1
merkletree,427,0
merkletree,428,0
merkletree,429,0
merkletree,430,1
merkletree,431,0
merkletree,432,1
merkletree,433,0
merkletree,434,0
merkletree,435,0
merkletree,436,1
merkletree,437,0
merkletree,438,0
merkletree,439,0
merkletree,440,0
merkletree,441,1
merkletree,442,0
merkletree,443,0
merkletree,444,0
merkletree,445,1
merkletree,446,0
merkletree,447,0
merkletree,448,0
merkletree,449,1
merkletree,450,0
merkletree,451,0
merkletree,452,0
merkletree,453,1
merkletree,454,0
merkletree,455,0
merkletree,456,0
merkletree,457,1
merkletree,458,0
merkletree,459,0
merkletree,460,0
merkletree,461,1
merkletree,462,0
merkletree,463,0
merkletree,464,0
merkletree,465,1
merkletree,466,0
merkletree,467,0
merkletree,468,1
merkletree,469,0
merkletree,470,0
merkletree,471,0
merkletree,472,1
merkletree,473,0
merkletree,474,0
merkletree,475,0
merkletree,476,1
merkletree,477,0
merkletree,478,0
merkletree,479,0
merkletree,480,1
merkletree,481,0
merkletree,482,0
merkletree,483,0
merkletree,484,1
merkletree,485,0
merkletree,486,0
merkletree,487,0
merkletree,488,1
merkletree,489,0
merkletree,490,0
merkletree,491,1
merkletree,492,0
merkletree,493,0
merkletree,494,0
merkletree,495,1
merkletree,496,0
merkletree,497,0
merkletree,498,0
merkletree,499,1
merkletree,500,0
merkletree,501,0
merkletree,502,0
merkletree,503,1
merkletree,504,0
merkletree,505,0
merkletree,506,0
merkletree,507,1
merkletree,508,0
merkletree,509,1
merkletree,510,0
merkletree,511,0
merkletree,512,1
merkletree,513,0
merkletree,514,0
merkletree,515,0
merkletree,516,1
merkletree,517,0
merkletree,518,0
merkletree,519,0
merkletree,520,1
merkletree,521,0
merkletree,522,0
merkletree,523,0
merkletree,524,1
merkletree,525,0
merkletree,526,0
merkletree,527,0
merkletree,528,1
merkletree,529,0
merkletree,530,0
merkletree,531,0
merkletree,532,1
merkletree,533,0
merkletree,534,0
merkletree,535,0
merkletree,536,1
merkletree,537,0
merkletree,538,0
merkletree,539,0
merkletree,540,1
merkletree,541,0
merkletree,542,0
merkletree,543,1
merkletree,544,0
merkletree,545,0
merkletree,546,0
merkletree,547,1
merkletree,548,0
merkletree,549,0
merkletree,550,0
merkletree,551,1
merkletree,552,0
merkletree,553,0
merkletree,554,0
merkletree,555,1
merkletree,556,0
merkletree,557,0
merkletree,558,1
merkletree,559,0
merkletree,560,0
merkletree,561,0
merkletree,562,1
merkletree,563,0
merkletree,564,0
